Class,Character,Name,Unicode,Phonetic,Group,Description
0,අ,AYANNA,0D85,a,Independent vowel,"""Sinhala letter ayanna""."
1,ආ,AAYANNA,0D86,ā,Independent vowel,"""Sinhala letter aayanna"". The corresponding dependent vowel is  ා."
2,ශ,TAALUJA SHAYANNA,0DC1,śa,Miśra consonant,"""Sinhala letter taaluja shayanna"". Part of the extended (miśra) repertoire (for Sanskrit, Pali, etc)."
3,ධ,MAHAPRAANA DHAYANNA,0DB0,dha,Miśra consonant,"""Sinhala letter mahapraana dhayanna"". Part of the extended (miśra) repertoire (for Sanskrit, Pali, etc)."
4,උ,UYANNA,0D8B,u,Independent vowel,"""Sinhala letter uyanna"". The corresponding dependent vowel is  ු."
5,ච,ALPAPRAANA CHAYANNA,0DA0,cha,Consonant,"""Sinhala letter alpapraana chayanna""."
6,ඉ,IYANNA,0D89,i,Independent vowel,"""Sinhala letter iyanna"". The corresponding dependent vowel is  ි."
7,ය,YAYANNA,0DBA,ya,Consonant,"""Sinhala letter yayanna""."
8,කැ,KAEYANNAA,0D9A 0DD0,kæ,Consonant with dependent vowel sign,"""Sinhala letter kaeyanna"" (alpapraana kayanna with keti aeda-pilla)."
9,කෑ,KAAEYANNA,0D9A 0DD1,kǣ,Consonant with dependent vowel sign,"""Sinhala letter kaaeyanna"" (alpapraana kayanna with diga aeda-pilla)."
10,කි,KIYANNA,0D9A 0DD2,ki,Consonant with dependent vowel sign,"""Sinhala letter kiyanna"" (alpapraana kayanna with keti is-pilla)."
11,කී,KIIYANNA,0D9A 0DD3,kī,Consonant with dependent vowel sign,"""Sinhala letter kiiyanna"" (alpapraana kayanna with diga is-pilla)."
12,ද,DAYANNA,0DAF,da,Consonant,"""Sinhala letter dayanna""."
13,කු,KUYANNA,0D9A 0DD4,ku,Consonant with dependent vowel sign,"""Sinhala letter kuyanna"" (alpapraana kayanna with keti paa-pilla)."
14,කෙ,KEYANNA,0D9A 0DD9,ke,Consonant with dependent vowel sign,"""Sinhala letter keyanna"" (alpapraana kayanna with kombuwa)."
15,කො,KOYANNA,0D9A 0DDC,ko,Consonant with dependent vowel signs,"""Sinhala letter koyanna"" (alpapraana kayanna with kombuwa and aela-pilla)."
16,එ,EYANNA,0D91,e,Independent vowel,"""Sinhala letter eyanna"". The corresponding dependent vowel is  ෙ."
17,ක,ALPAPRAANA KAYANNA,0D9A,ka,Consonant,"""Sinhala letter alpapraana kayanna""."
18,ග,ALPAPRAANA GAYANNA,0D9C,ga,Consonant,"""Sinhala letter alpapraana gayanna""."
19,ට,ALPAPRAANA TTAYANNA,0DA7,ṭa,Consonant,"""Sinhala letter alpapraana ttayanna""."
20,ඩ,ALPAPRAANA DDAYANNA,0DA9,ḍa,Consonant,"""Sinhala letter alpapraana ddayanna""."
21,න,DANTAJA NAYANNA,0DB1,na,Miśra consonant,"""Sinhala letter dantaja nayanna"". Part of the extended (miśra) repertoire (for Sanskrit, Pali, etc)."
22,ත,DANTAJA TAYANNA,0DAD,ta,Consonant,"""Sinhala letter alpapraana tayanna""."
23,ණ,MUURDHAJA NAYANNA,0DAB,ṇa,Consonant,"""Sinhala letter muurdhaja nayanna""."
24,හ,HAYANNA,0DC4,ha,Consonant,"""Sinhala letter hayanna""."
25,ප,ALPAPRAANA PAYANNA,0DB4,pa,Consonant,"""Sinhala letter alpapraana payanna""."
26,බ,ALPAPRAANA BAYANNA,0DB6,ba,Consonant,"""Sinhala letter alpapraana bayanna""."
27,ර,RAYANNA,0DBB,ra,Consonant,"""Sinhala letter rayanna""."
28,ල,DANTAJA LAYANNA,0DBD,la,Consonant,"""Sinhala letter dantaja layanna""."
29,ව,VAYANNA,0DC0,va,Consonant,"""Sinhala letter vayanna""."
30,ස,DANTAJA SAYANNA,0DC3,sa,Consonant,"""Sinhala letter dantaja sayanna""."
